#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 140  64
# Band-Index    1
   2.23974    -14.834246    -14.862964
   2.18547    -14.838503    -14.867455
   2.13121    -14.843761    -14.873130
   2.07695    -14.847618    -14.877738
   2.02269    -14.843318    -14.873444
   1.96842    -14.831518    -14.861008
   1.91416    -14.817102    -14.846091
   1.85990    -14.801818    -14.830398
   1.80563    -14.786583    -14.814830
   1.75137    -14.772199    -14.800212
   1.69711    -14.759672    -14.787576
   1.64284    -14.759021    -14.786887
   1.58858    -14.766116    -14.794289
   1.53432    -14.772240    -14.800675
   1.48005    -14.777207    -14.805854
   1.42579    -14.780861    -14.809663
   1.37153    -14.783100    -14.811996
   1.31726    -14.783856    -14.812784
   1.31726    -14.830261    -14.858741
   1.31002    -14.830260    -14.858740
   1.30277    -14.830261    -14.858741
   1.29553    -14.830261    -14.858741
   1.28828    -14.830262    -14.858742
   1.28103    -14.830261    -14.858742
   1.27379    -14.830261    -14.858742
   1.26654    -14.830261    -14.858741
   1.25929    -14.830261    -14.858741
   1.25205    -14.830260    -14.858740
   1.24480    -14.830259    -14.858739
   1.23756    -14.830259    -14.858739
   1.23031    -14.830261    -14.858741
   1.22306    -14.830261    -14.858742
   1.21582    -14.830259    -14.858739
   1.20857    -14.830259    -14.858740
   1.20133    -14.830260    -14.858740
   1.19408    -14.830261    -14.858741
   1.18683    -14.830261    -14.858741
   1.17959    -14.830262    -14.858742
   1.17959    -14.830262    -14.858742
   1.14854    -14.830936    -14.859466
   1.11750    -14.831848    -14.860430
   1.08646    -14.833297    -14.861951
   1.05542    -14.835209    -14.863967
   1.02437    -14.837473    -14.866373
   0.99333    -14.839925    -14.869017
   0.96229    -14.842313    -14.871671
   0.93125    -14.844198    -14.873931
   0.90020    -14.844733    -14.874916
   0.86916    -14.842751    -14.873155
   0.83812    -14.837941    -14.868137
   0.80708    -14.831212    -14.861066
   0.77603    -14.823426    -14.852965
   0.74499    -14.815082    -14.844355
   0.71395    -14.806502    -14.835557
   0.68290    -14.797986    -14.826884
   0.65186    -14.789975    -14.818806
   0.62082    -14.783432    -14.812330
   0.58978    -14.780602    -14.809597
   0.58978    -14.780671    -14.809667
   0.55874    -14.783497    -14.812396
   0.52769    -14.790032    -14.818864
   0.49665    -14.798038    -14.826936
   0.46561    -14.806549    -14.835604
   0.43457    -14.815123    -14.844396
   0.40353    -14.823459    -14.853000
   0.37249    -14.831234    -14.861090
   0.34145    -14.837942    -14.868142
   0.31041    -14.842713    -14.873118
   0.27937    -14.844645    -14.874823
   0.24833    -14.844073    -14.873801
   0.21729    -14.842169    -14.871525
   0.18625    -14.839773    -14.868864
   0.15520    -14.837316    -14.866216
   0.12416    -14.835050    -14.863809
   0.09312    -14.833136    -14.861791
   0.06208    -14.831684    -14.860267
   0.03104    -14.830757    -14.859287
   0.00000    -14.830262    -14.858742
 
# Band-Index    5
   0.00000    -14.683026    -14.707849
   0.03104    -14.683167    -14.708012
   0.06208    -14.683826    -14.708616
   0.09312    -14.684914    -14.709638
   0.12416    -14.686407    -14.711045
   0.15520    -14.688272    -14.712805
   0.18625    -14.690462    -14.714874
   0.21729    -14.692920    -14.717203
   0.24833    -14.695589    -14.719773
   0.27937    -14.698427    -14.723108
   0.31041    -14.702017    -14.727306
   0.34145    -14.706677    -14.732132
   0.37249    -14.711966    -14.737562
   0.40353    -14.717822    -14.743558
   0.43457    -14.724186    -14.750060
   0.46561    -14.730961    -14.756960
   0.49665    -14.737968    -14.764058
   0.52769    -14.744856    -14.770968
   0.55874    -14.750701    -14.776722
   0.58978    -14.753297    -14.779212
   0.58978    -14.753258    -14.779179
   0.62082    -14.750659    -14.776685
   0.65186    -14.744807    -14.770925
   0.68290    -14.737915    -14.764009
   0.71395    -14.730905    -14.756907
   0.74499    -14.724128    -14.750004
   0.77603    -14.717763    -14.743501
   0.80708    -14.711907    -14.737504
   0.83812    -14.706622    -14.732074
   0.86916    -14.701989    -14.727252
   0.90020    -14.698513    -14.723073
   0.93125    -14.695675    -14.719851
   0.96229    -14.693003    -14.717283
   0.99333    -14.690541    -14.714950
   1.02437    -14.688349    -14.712878
   1.05542    -14.686482    -14.711116
   1.08646    -14.684987    -14.709706
   1.11750    -14.683898    -14.708680
   1.14854    -14.683239    -14.708056
   1.17959    -14.683026    -14.707849
   1.17959    -14.683026    -14.707849
   1.18683    -14.683025    -14.707848
   1.19408    -14.683024    -14.707848
   1.20133    -14.683024    -14.707847
   1.20857    -14.683024    -14.707847
   1.21582    -14.683024    -14.707847
   1.22306    -14.683025    -14.707849
   1.23031    -14.683024    -14.707849
   1.23756    -14.683024    -14.707847
   1.24480    -14.683023    -14.707847
   1.25205    -14.683024    -14.707848
   1.25929    -14.683025    -14.707848
   1.26654    -14.683025    -14.707848
   1.27379    -14.683025    -14.707848
   1.28103    -14.683025    -14.707848
   1.28828    -14.683026    -14.707848
   1.29553    -14.683025    -14.707848
   1.30277    -14.683024    -14.707847
   1.31002    -14.683023    -14.707846
   1.31726    -14.683023    -14.707846
   1.31726    -14.750586    -14.776569
   1.37153    -14.750487    -14.776421
   1.42579    -14.750095    -14.775941
   1.48005    -14.749292    -14.775145
   1.53432    -14.748214    -14.774336
   1.58858    -14.747764    -14.774624
   1.64284    -14.750823    -14.778533
   1.69711    -14.751169    -14.778695
   1.75137    -14.742799    -14.769959
   1.80563    -14.734164    -14.760948
   1.85990    -14.725527    -14.751936
   1.91416    -14.717156    -14.743207
   1.96842    -14.709310    -14.735034
   2.02269    -14.702464    -14.727667
   2.07695    -14.697269    -14.721383
   2.13121    -14.692562    -14.716883
   2.18547    -14.688578    -14.713111
   2.23974    -14.685536    -14.710241
   2.29400    -14.683629    -14.708444
   2.34826    -14.683026    -14.707849
