kpoint_index,kpoint_label,kpoint_distance,band_index,energy_eV,spin
7,,0.21728617961640592,8,-9.169,1
7,,0.21728617961640592,9,-8.7781,1
7,,0.21728617961640592,10,-8.7506,1
7,,0.21728617961640592,11,-8.7142,1
7,,0.21728617961640592,12,-8.6145,1
7,,0.21728617961640592,13,-8.4393,1
7,,0.21728617961640592,14,-8.3483,1
7,,0.21728617961640592,15,-8.2939,1
7,,0.21728617961640592,16,-7.5779,1
7,,0.21728617961640592,17,-7.3179,1
7,,0.21728617961640592,18,-7.3109,1
7,,0.21728617961640592,19,-6.7886,1
7,,0.21728617961640592,20,-6.5941,1
7,,0.21728617961640592,21,-6.5809,1
7,,0.21728617961640592,22,-6.4547,1
7,,0.21728617961640592,23,-6.2262,1
7,,0.21728617961640592,24,-6.194,1
7,,0.21728617961640592,25,-5.4567,1
7,,0.21728617961640592,26,-5.224,1
7,,0.21728617961640592,27,-5.1768,1
7,,0.21728617961640592,28,-5.0051,1
7,,0.21728617961640592,29,-4.8994,1
7,,0.21728617961640592,30,-4.8524,1
7,,0.21728617961640592,31,-3.2297,1
7,,0.21728617961640592,32,-3.2148,1
7,,0.21728617961640592,33,-3.0539,1
7,,0.21728617961640592,34,-2.9627,1
